 Name,Team,GP,G,A,Pts,+/-,PIM,Hits,BkS,FW,FL,FO%,PPG,PPA,SHG,SHA,GW,SOG,Pct
 Evgeni Malkin,PIT,75,50,59,109,18,70,29,41,575,635,0.475,12,22,0,0,9,339,0.147
 Steven Stamkos,TAM,82,60,37,97,7,66,109,37,558,669,0.455,12,13,0,0,12,303,0.198
 Claude Giroux,PHI,77,28,65,93,6,29,70,44,828,715,0.537,6,32,0,2,5,242,0.116
 Jason Spezza,OTT,80,34,50,84,11,36,28,23,909,791,0.535,10,14,0,0,2,232,0.147
 Ilya Kovalchuk,NJD,77,37,46,83,-9,33,27,18,13,24,0.351,10,19,3,2,5,310,0.119
 Phil Kessel,TOR,82,37,45,82,-10,20,12,21,9,19,0.321,10,13,0,0,6,295,0.125
 James Neal,PIT,80,40,41,81,6,87,108,15,4,11,0.267,18,12,0,0,4,329,0.122
 Henrik Sedin,VAN,82,14,67,81,23,52,32,17,652,650,0.501,8,19,0,0,6,113,0.124
 John Tavares,NYI,82,31,50,81,-6,26,27,23,814,772,0.513,7,18,0,0,8,286,0.108
 Patrik Elias,NJD,81,26,52,78,-8,16,61,26,604,765,0.441,8,21,2,2,3,164,0.159
 Erik Karlsson,OTT,81,19,59,78,16,42,60,65,0,1,0,3,25,0,0,5,261,0.073
 Marian Hossa,CHI,81,29,48,77,18,20,73,40,3,6,0.333,9,11,2,1,4,248,0.117
 Ray Whitney,DAL,82,24,53,77,26,28,28,10,4,11,0.267,8,12,0,0,1,185,0.13
 Joe Thornton,SAN,82,18,59,77,17,31,42,26,557,436,0.561,4,19,0,1,2,156,0.115
 Marian Gaborik,COB,82,41,35,76,15,34,63,40,0,2,0,10,11,0,0,7,276,0.149
 Jordan Eberle,EDM,78,34,42,76,4,10,45,24,12,15,0.444,10,10,0,0,4,180,0.189
 Anze Kopitar,LOS,82,25,51,76,12,20,72,53,763,655,0.538,8,18,2,2,2,230,0.109
 Martin St. Louis,TAM,77,25,49,74,-3,16,17,39,18,23,0.439,4,12,0,0,3,185,0.135
 Jason Pominville,MIN,82,30,43,73,-7,12,30,52,179,196,0.477,8,18,2,1,5,235,0.128
 Loui Eriksson,BOS,82,26,45,71,18,12,20,40,7,9,0.438,5,7,2,1,3,187,0.139
 Eric Staal,CAR,82,24,46,70,-20,48,48,35,882,799,0.525,7,16,3,2,3,262,0.092
 Zach Parise,MIN,82,31,38,69,-5,32,65,39,30,33,0.476,7,7,3,4,3,293,0.106
 Patrick Sharp,CHI,74,33,36,69,28,38,80,18,139,152,0.478,7,10,1,0,8,282,0.117
 Matt Moulson,NYI,82,36,33,69,1,6,33,40,2,2,0.5,14,10,0,0,5,219,0.164
